image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730324218.jpg,The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,$,17.6,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,$,15.0,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4.0,8.9,$,12.4,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241257401.jpg,Daring Greatly,Brene Brown,Paperback,4.5,9.6,$,12.4,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060555665.jpg,The Intelligent Investor,Benjamin Graham,Paperback,4.0,15.99,$,25.2,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042140.jpg,Dare to Lead,Brene Brown,Paperback,4.0,13.09,$,16.0,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472139955.jpg,Mindset - Updated Edition,Carol Dweck,Paperback,4.0,8.6,$,13.9,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091929114.jpg,The 4-Hour Work Week,Timothy Ferriss,Paperback,4.0,14.32,$,16.0,9780000000000.0,Business-Finance-Law,dataset/Business-Finance-Law/0000010.jpg
